Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank Z-score,GFDD.SI.01,Dominican Republic,DOM,..,..,..,32.974,33.16689,39.92155,30.66366,30.64993,30.68496,33.30424,32.06005,33.28437,31.04496,32.25481,32.62072,33.06392,32.09081,31.62562,36.20605,38.14822,34.46243,34.36922,34.62232,31.06544,32.58395
Bank Z-score,GFDD.SI.01,Ecuador,ECU,..,..,..,5.890882,10.58554,10.11148,10.49036,10.34352,10.13633,11.41771,11.24322,10.8947,10.61058,10.13134,10.78709,10.94596,10.14678,10.07726,11.11825,10.61249,11.06853,10.69763,10.8558,9.297792,9.514566
Bank Z-score,GFDD.SI.01,"Egypt, Arab Rep.",EGY,..,..,..,15.10386,13.75495,12.96994,13.98557,14.44945,14.28642,14.1489,14.56352,15.79272,17.08611,17.11292,17.60347,20.00707,20.85235,21.54306,21.43956,19.92265,21.54849,20.86885,23.47762,22.12914,20.59571
Bank Z-score,GFDD.SI.01,El Salvador,SLV,..,..,..,15.62581,15.22812,16.28352,17.60176,19.01539,20.47292,22.74751,22.09872,23.31146,23.48711,26.18802,28.53621,26.77973,26.22984,24.32444,22.07014,20.30752,21.02519,20.48226,20.60951,19.58387,20.56678
Bank Z-score,GFDD.SI.01,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Estonia,EST,..,..,..,11.10543,12.44925,12.52533,12.24716,7.686191,6.850706,6.745048,7.595668,7.323383,4.597029,8.940306,11.6433,11.60134,13.33931,12.67973,12.61989,9.927593,9.926767,9.10916,8.922285,8.281074,8.421521
Bank Z-score,GFDD.SI.01,Eswatini,SWZ,..,..,..,..,7.560141,12.66005,21.87454,25.32254,25.09787,20.64153,22.0435,27.85431,24.63082,24.94608,27.0177,25.19922,22.00786,23.63356,24.72169,24.39738,24.12191,22.89897,24.41746,..,..
Bank Z-score,GFDD.SI.01,Ethiopia,ETH,..,..,..,8.656344,10.16264,9.044593,9.184564,9.521748,9.420166,11.43192,12.79039,12.45547,11.1199,10.19397,8.953142,12.38283,10.14572,8.62554,8.840451,8.479112,11.29838,9.96612,9.928329,9.03286,11.55515
Bank Z-score,GFDD.SI.01,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.31531,27.55059,27.2409,28.90173,31.69231,28.73934,33.01206
Bank Z-score,GFDD.SI.01,Finland,FIN,..,..,..,13.11089,10.2994,11.6009,10.50494,24.81151,24.36482,24.55693,18.3152,13.07524,12.95395,10.77478,8.436144,8.522068,9.557652,9.067446,11.05559,15.04451,13.97095,17.20489,16.28398,17.83522,17.11392
Bank Z-score,GFDD.SI.01,France,FRA,..,..,..,19.75932,19.71619,20.90429,20.2983,19.58762,15.8046,18.901,13.54683,10.16272,15.92815,16.63905,15.13395,16.91441,19.35971,16.62016,18.60366,19.79079,20.00664,19.20898,19.79179,18.992,19.97747
Bank Z-score,GFDD.SI.01,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Gabon,GAB,..,..,..,..,..,..,13.96199,13.95181,14.12677,13.76531,13.87775,12.67186,11.68541,11.16093,19.54315,17.34224,21.20304,14.75315,12.30445,15.34644,15.17335,16.20967,16.63204,..,..
Bank Z-score,GFDD.SI.01,"Gambia, The",GMB,..,..,..,..,..,..,..,14.51097,14.79569,14.37706,13.08957,13.7901,11.96014,..,..,..,..,..,13.49336,13.95776,13.87274,14.03069,13.33075,10.93436,..
