Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],Max
Kuwait,KWT,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,94.200936,92.336004,89.346851,93.041209,,94.200936
Kuwait,KWT,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,0
Kuwait,KWT,Time required to start a business (days),IC.REG.DURS,19.4,,,,,19.4
Kyrgyz Republic,KGZ,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,45.09,,,45.09
Kyrgyz Republic,KGZ,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,43.76,,,43.76
Kyrgyz Republic,KGZ,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,46.54,,,46.54
Kyrgyz Republic,KGZ,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,44.09,,,44.09
Kyrgyz Republic,KGZ,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,36.24,,,36.24
Kyrgyz Republic,KGZ,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,28.94,,,28.94
Kyrgyz Republic,KGZ,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,0
Kyrgyz Republic,KGZ,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,31.4,,,,31.4,31.4
Kyrgyz Republic,KGZ,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,7,,,,,7
Kyrgyz Republic,KGZ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,51.33253784,67.95622229,56.36236946,47.08548054,44.00042298,67.95622229
Kyrgyz Republic,KGZ,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,10
Kyrgyz Republic,KGZ,Control of Corruption: Percentile Rank,CC.PER.RNK,17.1428566,13.33333302,12.85714245,10.37735844,11.320755,17.1428566
Kyrgyz Republic,KGZ,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,10.61720868,9.88449404,,,,10.61720868
Kyrgyz Republic,KGZ,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,49.71965994,49.92456455,,,,49.92456455
Kyrgyz Republic,KGZ,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,82.858831,79.533485,80.020462,83.671414,,83.671414
Kyrgyz Republic,KGZ,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,0
Kyrgyz Republic,KGZ,Time required to start a business (days),IC.REG.DURS,10,,,,,10
Lao PDR,LAO,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,37.32,,,37.32
Lao PDR,LAO,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,37.85,,,37.85
Lao PDR,LAO,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,36.75,,,36.75
Lao PDR,LAO,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,22.8,,,22.8
Lao PDR,LAO,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,26.38,,,26.38
Lao PDR,LAO,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,28.72,,,28.72
Lao PDR,LAO,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,0
Lao PDR,LAO,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,,,,,,0
Lao PDR,LAO,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,6,,,,,6
