Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank Z-score,GFDD.SI.01,Kyrgyz Republic,KGZ,..,23.76618,17.91123,16.64027,14.94015,14.13635,15.35707,16.07154,15.92686,16.8391,16.39312,14.62098
Bank Z-score,GFDD.SI.01,Lao PDR,LAO,..,..,11.36226,15.68997,12.22057,11.45338,9.661771,11.69519,12.10984,10.80275,9.840033,19.47947
Bank Z-score,GFDD.SI.01,Latvia,LVA,..,5.776068,6.852037,7.21825,7.384685,8.277837,8.138029,7.095502,8.351654,7.930617,6.765033,7.114153
Bank Z-score,GFDD.SI.01,Lebanon,LBN,..,15.96243,20.166,19.7054,19.9906,20.47624,20.62111,20.47074,18.79907,14.52089,17.7362,20.1897
Bank Z-score,GFDD.SI.01,Lesotho,LSO,..,16.63031,18.7845,17.15207,18.02627,17.66736,21.73222,20.05368,19.59272,22.37866,20.19481,16.92211
Bank Z-score,GFDD.SI.01,Liberia,LBR,..,..,..,..,..,6.730481,8.177073,7.988188,9.941512,9.998554,6.244452,9.723547
Bank Z-score,GFDD.SI.01,Libya,LBY,..,24.99412,49.8479,43.78758,33.48941,24.39205,19.04932,21.22112,24.68672,26.63289,32.0531,..
Bank Z-score,GFDD.SI.01,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Lithuania,LTU,..,6.912165,7.503041,8.231067,7.878546,8.752463,7.18599,6.807589,6.853796,6.270332,5.52647,5.122434
Bank Z-score,GFDD.SI.01,Luxembourg,LUX,..,24.13867,41.28843,44.26462,38.70667,46.61733,54.32573,57.44071,53.49949,55.10573,54.36499,51.66831
Bank Z-score,GFDD.SI.01,"Macao SAR, China",MAC,..,36.80785,18.66265,17.05116,17.12971,22.87301,22.864,23.34351,23.13064,22.96726,22.18295,20.2597
Bank Z-score,GFDD.SI.01,Madagascar,MDG,..,15.84935,13.12575,15.21086,16.85603,18.53925,16.61008,16.45541,16.66277,15.92543,14.06469,..
Bank Z-score,GFDD.SI.01,Malawi,MWI,..,14.71622,16.93449,18.55195,21.38731,17.33309,16.3916,15.36753,15.4544,16.12405,16.98583,14.50642
Bank Z-score,GFDD.SI.01,Malaysia,MYS,..,16.62093,19.24909,19.0734,19.77577,16.5578,18.00918,19.69873,20.40258,21.13619,20.40033,20.71885
Bank Z-score,GFDD.SI.01,Maldives,MDV,..,..,..,..,..,..,18.85819,18.73351,19.15519,18.9871,14.79171,..
Bank Z-score,GFDD.SI.01,Mali,MLI,..,13.76883,19.01946,16.00088,12.17493,13.5586,13.93234,13.06048,14.88264,14.01081,12.82675,..
Bank Z-score,GFDD.SI.01,Malta,MLT,..,18.14401,26.66566,26.27657,19.47697,18.29171,18.69421,20.53146,19.53803,20.78991,19.10613,18.40884
Bank Z-score,GFDD.SI.01,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Mauritania,MRT,..,27.14493,21.61819,25.43288,23.91242,24.95151,21.39767,20.30035,24.45073,21.98047,23.53199,..
Bank Z-score,GFDD.SI.01,Mauritius,MUS,..,28.60228,17.53375,17.24109,15.97996,17.02521,16.75397,17.02202,17.68518,16.01738,14.39066,10.95238
Bank Z-score,GFDD.SI.01,Mexico,MEX,..,18.50949,14.99272,19.81271,18.84009,22.39428,19.35907,21.13066,21.71797,22.35756,20.47244,23.75342
Bank Z-score,GFDD.SI.01,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Moldova,MDA,..,13.22522,8.629447,8.458534,6.707672,8.596913,9.396053,9.310052,9.097478,9.961493,9.040374,8.722918
Bank Z-score,GFDD.SI.01,Monaco,MCO,..,103.1545,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Mongolia,MNG,..,39.19791,27.65587,26.49039,29.4281,37.57253,36.04773,37.57542,36.64899,34.44346,36.30239,36.25018
Bank Z-score,GFDD.SI.01,Montenegro,MNE,..,..,6.395607,9.251592,10.42877,8.815902,8.939162,9.150633,9.301689,9.970045,9.419744,8.927644
Bank Z-score,GFDD.SI.01,Morocco,MAR,..,41.06769,40.08586,39.99622,42.38619,41.86846,43.3387,42.1162,41.84574,44.51421,41.71841,42.40052
Bank Z-score,GFDD.SI.01,Mozambique,MOZ,..,..,5.611869,5.233314,5.422138,5.312698,5.308121,7.122042,6.786724,6.985748,5.940557,7.062472
Bank Z-score,GFDD.SI.01,Myanmar,MMR,..,..,5.423186,3.098038,2.775956,6.443028,6.535042,5.645101,6.971704,7.482056,7.592739,7.594283
Bank Z-score,GFDD.SI.01,Namibia,NAM,..,..,25.26302,21.62047,21.85556,25.37547,25.55405,26.93535,25.31444,24.37314,25.25618,23.72112
Bank Z-score,GFDD.SI.01,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Nepal,NPL,..,20.44254,27.58294,25.40979,24.46841,26.58828,28.35333,35.6377,35.74821,33.88417,30.41902,28.87113
Bank Z-score,GFDD.SI.01,Netherlands,NLD,..,17.24958,8.412597,8.942967,9.642394,9.511075,11.03037,12.20702,12.15548,13.05325,12.50759,13.0423
Bank Z-score,GFDD.SI.01,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,New Zealand,NZL,..,..,37.26256,41.52512,40.38385,42.18798,42.01978,43.05983,43.92428,43.03194,41.67757,44.78266
Bank Z-score,GFDD.SI.01,Nicaragua,NIC,..,13.11015,17.92966,18.28453,18.50164,19.46932,19.82819,20.62994,23.91312,25.54876,24.29852,25.13264
Bank Z-score,GFDD.SI.01,Niger,NER,..,12.21779,16.5979,16.61559,15.53562,17.69081,11.95529,14.26589,13.56817,14.38157,..,..
Bank Z-score,GFDD.SI.01,Nigeria,NGA,..,12.21564,17.77566,16.28585,16.4411,16.78471,16.43923,18.36757,14.80313,15.37705,13.62957,12.19272
Bank Z-score,GFDD.SI.01,North Macedonia,MKD,..,15.34952,9.64795,9.987813,9.87875,10.20535,10.55469,11.05696,11.10239,11.19481,11.27912,9.520221
Bank Z-score,GFDD.SI.01,Norway,NOR,..,8.611606,8.035648,8.557817,8.873162,10.52222,11.29774,11.44286,12.59829,12.82647,13.04555,12.5704
Bank Z-score,GFDD.SI.01,Oman,OMN,..,15.67961,15.2999,15.59619,14.93049,16.71706,17.84947,19.41836,19.60067,19.83832,19.42753,19.64149
Bank Z-score,GFDD.SI.01,Pakistan,PAK,..,7.741141,13.29162,11.91086,13.11812,12.2764,11.63105,9.721706,9.251515,9.704996,10.05904,8.854549
Bank Z-score,GFDD.SI.01,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Panama,PAN,..,35.92801,31.7932,29.70273,31.2068,38.63454,38.68009,40.26882,41.44457,43.10234,38.07178,40.39326
Bank Z-score,GFDD.SI.01,Papua New Guinea,PNG,..,..,13.47289,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Paraguay,PRY,..,16.63985,16.69643,15.55966,15.52902,14.70127,15.5635,16.24234,16.14329,16.9332,15.72386,17.13345
Bank Z-score,GFDD.SI.01,Peru,PER,..,13.93316,16.88897,16.1249,16.43689,16.02168,17.77991,18.69089,19.55056,20.30264,14.65761,16.93897
Bank Z-score,GFDD.SI.01,Philippines,PHL,..,29.45958,23.33885,19.7629,19.79133,20.69572,20.51461,21.11479,21.54946,22.45145,22.16999,24.13341
Bank Z-score,GFDD.SI.01,Poland,POL,..,8.514822,10.08323,9.654583,9.930735,9.74675,9.633597,10.03586,9.395756,9.372567,8.105345,7.048028
Bank Z-score,GFDD.SI.01,Portugal,PRT,..,9.12691,10.34659,7.895902,9.327741,12.36677,10.70251,16.44999,16.8905,17.5525,15.55049,16.09242
Bank Z-score,GFDD.SI.01,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Qatar,QAT,..,23.88985,26.31853,24.51735,23.9167,22.81017,20.25505,20.11039,20.28576,19.90375,18.67844,18.45945
Bank Z-score,GFDD.SI.01,Romania,ROU,..,18.0642,8.485225,9.323071,7.786754,10.88855,10.84487,11.23704,11.30402,11.0667,10.99972,10.34337
Bank Z-score,GFDD.SI.01,Russian Federation,RUS,..,12.82193,6.76555,6.807406,6.317936,5.400071,6.669628,7.379331,7.177286,7.673623,6.899168,6.866006
Bank Z-score,GFDD.SI.01,Rwanda,RWA,..,..,22.81995,17.65331,18.74671,20.39169,20.22506,18.42664,22.24675,23.55324,21.75867,21.42436
Bank Z-score,GFDD.SI.01,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,San Marino,SMR,..,..,8.635167,8.504087,..,9.490186,9.715286,11.20281,..,..,..,..
Bank Z-score,GFDD.SI.01,São Tomé and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Saudi Arabia,SAU,..,14.78122,20.28142,20.13049,20.10879,20.9861,21.9313,23.45901,22.69943,23.47289,21.82094,24.37054
Bank Z-score,GFDD.SI.01,Senegal,SEN,..,14.39449,15.82616,16.22482,11.45501,12.98558,13.84004,14.24647,14.17325,15.72905,15.87033,..
Bank Z-score,GFDD.SI.01,Serbia,SRB,..,10.7852,13.56259,13.25022,13.18096,14.26519,13.32902,14.35747,13.33905,12.55498,11.06735,10.3452
Bank Z-score,GFDD.SI.01,Seychelles,SYC,..,..,16.37605,13.62648,..,16.14088,15.66881,15.03939,14.33822,13.49258,10.41336,..
